numero_onu,classificacao_onu,proper_shipping_name
1,?,"(UN No. no longer in use) Alarm devices, explosive (UN No. no longer in use)[1]"
2,?,(UN No.s no longer in use)
3,?,(UN No.s no longer in use)
4,1.1D,"Ammonium picrate, dry or wetted with less than 10 percent water, by mass"
5,1.1F,"Cartridges for weapons, with bursting charge"
6,1.1E,"Cartridges for weapons, with bursting charge"
7,1.2F,"Cartridges for weapons, with bursting charge"
8,?,(UN No. no longer in use)
9,1.2G,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge"
10,1.3G,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge"
11,?,(UN No. no longer in use)
12,1.4S,"Cartridges for weapons, inert projectile or Cartridges, small arms"
13,?,(UN No. no longer in use)
14,1.4S,"Cartridges for weapons, blank or Cartridges, small arms, blank"
15,1.2G,"Ammunition, smoke with or without burster, expelling charge, or propelling charge"
16,1.3G,"Ammunition, smoke with or without burster, expelling charge, or propelling charge"
17,?,(UN No. no longer in use)
18,1.2G,"Ammunition, tear-producing with burster, expelling charge, or propelling charge"
19,1.3G,"Ammunition, tear-producing with burster, expelling charge, or propelling charge"
20,1.2K,"Ammunition, toxic with burster, expelling charge, or propelling charge"
21,1.3K,"Ammunition, toxic with burster, expelling charge, or propelling charge"
22,?,(UN No. no longer in use) Amorces[2]
23,?,(UN No.s no longer in use)
24,?,(UN No.s no longer in use)
25,?,(UN No.s no longer in use)
26,?,(UN No.s no longer in use)
27,1.1D,"Black powder or Gunpowder, granular or as a meal"
28,1.1D,"Black powder, compressed or Gunpowder, compressed or Black powder, in pellets or Gunpowder, in pellets"
29,1.1B,"Detonators, non-electric, for blasting"
30,1.1B,"Detonators, electric, for blasting"
31,?,(UN No.s no longer in use)
32,?,(UN No.s no longer in use)
33,1.1F,"Bombs, with bursting charge"
34,1.1D,"Bombs, with bursting charge"
35,1.2D,"Bombs, with bursting charge"
36,?,(UN No. no longer in use)
37,1.1F,"Bombs, photo-flash"
38,1.1D,"Bombs, photo-flash"
39,1.2G,"Bombs, photo-flash"
40,?,(UN No.s no longer in use)
41,?,(UN No.s no longer in use)
42,1.1D,"Boosters, without detonator"
43,1.1D,"Bursters, explosive"
44,1.4S,"Primers, cap type"
45,?,(UN No.s no longer in use)
46,?,(UN No.s no longer in use)
47,?,(UN No.s no longer in use)
48,1.1D,"Charges, demolition"
49,1.1G,"Cartridges, flash"
50,1.3G,"Cartridges, flash"
51,?,(UN No.s no longer in use)
52,?,(UN No.s no longer in use)
53,?,(UN No.s no longer in use)
54,1.3G,"Cartridges, signal"
55,1.4S,"Cases, cartridge, empty with primer"
56,1.1D,"Charges, depth"
57,?,(UN No.s no longer in use)
58,?,(UN No.s no longer in use)
59,1.1D,"Charges, shaped, without detonator"
60,1.1D,"Charges, supplementary explosive"
61,?,(UN No.s no longer in use)
62,?,(UN No.s no longer in use)
63,?,(UN No.s no longer in use)
64,?,(UN No.s no longer in use)
65,1.1D,"Cord, detonating, flexible"
66,1.4G,"Cord, igniter"
67,?,(UN No.s no longer in use)
68,?,(UN No.s no longer in use)
69,?,(UN No.s no longer in use)
70,1.4S,"Cutters, cable, explosive"
71,?,(UN No. no longer in use)
