numero_onu,classificacao_onu,grupo_embalagem,descricao
4,1,,"AMMONIUMPIKRAT, trocken oder angefeuchtet mit weniger als 10 Masse-% Wasser"
5,1,,"PATRONEN FÜR WAFFEN, mit Sprengladung"
6,1,,"PATRONEN FÜR WAFFEN, mit Sprengladung"
7,1,,"PATRONEN FÜR WAFFEN, mit Sprengladung"
9,1,,"MUNITION, BRAND, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
10,1,,"MUNITION, BRAND, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
12,1,,"PATRONEN FÜR WAFFEN, MIT INERTEM GESCHOSS oder PATRONEN FÜR HANDFEUERWAFFEN"
14,1,,"PATRONEN FÜR WAFFEN, MANÖVER oder PATRONEN FÜR HANDFEUERWAFFEN, MANÖVER oder PATRONEN FÜR WERKZEUGE, OHNE GESCHOSS"
15,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
15,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit ätzenden Stoffen"
15,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit beim Einatmen giftigen Stoffen"
16,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
16,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit ätzenden Stoffen"
16,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit beim Einatmen giftigen Stoffen"
18,1,,"MUNITION, AUGENREIZSTOFF, mit Zerleger, Ausstoss- oder Treibladung"
19,1,,"MUNITION, AUGENREIZSTOFF, mit Zerleger, Ausstoss- oder Treibladung"
20,1,BEFÖRDERUNG VERBOTEN,"MUNITION, GIFTIG, mit Zerleger, Ausstoss- oder Treibladung"
21,1,BEFÖRDERUNG VERBOTEN,"MUNITION, GIFTIG, mit Zerleger, Ausstoss- oder Treibladung"
27,1,,"SCHWARZPULVER, gekörnt oder in Mehlform"
28,1,,"SCHWARZPULVER, GEPRESST oder als PELLETS"
29,1,,"SPRENGKAPSELN, NICHT ELEKTRISCH"
30,1,,"SPRENGKAPSELN, ELEKTRISCH"
33,1,,"BOMBEN, mit Sprengladung"
34,1,,"BOMBEN, mit Sprengladung"
35,1,,"BOMBEN, mit Sprengladung"
37,1,,"BOMBEN, BLITZLICHT"
38,1,,"BOMBEN, BLITZLICHT"
39,1,,"BOMBEN, BLITZLICHT"
42,1,,"ZÜNDVERSTÄRKER, ohne Detonator"
43,1,,"ZERLEGER, mit Explosivstoff"
44,1,,ANZÜNDHÜTCHEN
48,1,,SPRENGKÖRPER
49,1,,"PATRONEN, BLITZLICHT"
50,1,,"PATRONEN, BLITZLICHT"
54,1,,"PATRONEN, SIGNAL"
55,1,,"TREIBLADUNGSHÜLSEN, LEER, MIT TREIBLADUNGSANZÜNDER"
56,1,,WASSERBOMBEN
