id,filename,status,processed_at,processing_time_seconds,nome_produto,nome_produto_confidence,fabricante,fabricante_confidence,numero_onu,numero_onu_confidence,numero_onu_status,numero_onu_message,numero_cas,numero_cas_confidence,numero_cas_status,numero_cas_message,classificacao_onu,classificacao_onu_confidence,classificacao_onu_status,classificacao_onu_message,grupo_embalagem,grupo_embalagem_confidence,incompatibilidades,incompatibilidades_confidence
374,9746 - HERBICIDA LIQUIDO TEBUTIUROM SC 500.pdf,success,2025-11-20 11:36:04.431245,13.017318852000244,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,1094,0.85,warning,,NAO ENCONTRADO,1.0,valid,,3 (Perigoso para o meio ambiente),0.95,valid,,,1.0,NAO ENCONTRADO,1.0
348,86912 - HERBICIDA LIQUIDO PIROXASULFONA YAMATO SC 500GL.pdf,success,2025-11-20 11:36:01.723566,10.706249533001028,YAMATO SC.,0.88,IHARABRAS S.A. INDÚSTRIAS QUÍMICAS,0.8,3082,0.95,valid,,NAO ENCONTRADO,1.0,valid,,9,0.7,warning,,III,0.8,NAO ENCONTRADO,1.0
342,8549-HERBICIDA GRANULADO PROVENCE 750 WG.pdf,success,2025-11-20 11:36:00.491040,10.478368678999686,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,0033,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,1.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
329,84911- HERBICIDA LIQUIDO TRICLOPIR-BUTOTILICO EC 480 GL.pdf,success,2025-11-20 11:35:59.871623,10.02566630399997,Triclon.,0.88,NAO ENCONTRADO,0.0,3082,0.95,valid,,78-83-1,0.8,warning,,9,0.7,warning,,III,0.8,,
355,88230 - HERBICIDA METHYL SULFANILYLCARBAMATE 400GL SL.pdf,success,2025-11-20 11:35:58.451933,7.04789882499972,"N,N-DIMETHYLFORMAMIDE",1.0,NAO ENCONTRADO,0.0,2025,0.85,warning,,3337-71-1,0.8,warning,,"2025 - Liquido inflamavel, classe 3",1.0,invalid,"Value error, Classe ONU invalida.",I,0.0,"Álcalis em solução, ácidos fortes, metais pesados, peróxidos de hidrogênio, oxidantes, materiais orgânicos inflamáveis, produtos sensíveis à oxidação",1.0
305,81295-HERBICIDA CALIPEN SC SYNGENTA.pdf,success,2025-11-20 11:35:55.653780,10.219352112999331,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,1870,0.85,warning,,NAO ENCONTRADO,1.0,valid,,1870,1.0,valid,,I,1.0,NAO ENCONTRADO,1.0
326,84830 - HERBICIDA LIQUIDO PIROXASULFONA+FLUMIOXAZINA SC 200+200GL.pdf,success,2025-11-20 11:35:54.756077,8.222343872999772,FALCON.,0.88,IHARABRAS S.A. INDÚSTRIAS QUÍMICAS,0.8,3082,0.95,valid,,NAO ENCONTRADO,1.0,valid,,9,0.7,warning,,III,0.8,NAO ENCONTRADO,1.0
307,81296-HERBICIDA GROVER SE SYNGENTA.pdf,success,2025-11-20 11:35:53.499430,7.90199707300053,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,1964,0.85,warning,,NAO ENCONTRADO,1.0,valid,,1964,1.0,valid,,,1.0,NAO ENCONTRADO,1.0
302,81270 HERBICIDA LIQUIDO ISOXAFLUTOL+INDAZAFLAN SC 450+150 Gl.pdf,success,2025-11-20 11:35:40.877897,2.490617990999453,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,1616,0.85,warning,,NAO ENCONTRADO,1.0,valid,,1616,1.0,valid,,III,1.0,NAO ENCONTRADO,1.0
292,79223-HERBICIDA ARREIO PASTO ADAMA.pdf,success,2025-11-20 11:35:33.282568,2.7579649389990664,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,0110,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,1.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
280,76378-HERBICIDA LIQUIDO GLIFOSATO CONCENTRACAO 480MGL.pdf,success,2025-11-20 11:35:20.365639,2.6602997740010323,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,2138,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
273,74030 HERBICIDA LIQUIDO AMICARBAZONA 500SC GL.pdf,success,2025-11-20 11:34:42.919902,2.094024926998827,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,1701,0.85,warning,,NAO ENCONTRADO,1.0,valid,,1701,1.0,valid,,II,1.0,NAO ENCONTRADO,1.0
264,72951 - HERBICIDA HEXAZINONA 800 WP.pdf,success,2025-11-20 11:34:34.053898,2.136736750999262,MAGNUSBR,0.88,NAO ENCONTRADO,0.0,3077,0.95,valid,,51235-04-2,0.8,warning,,9,0.7,warning,,III,0.8,,
262,700-HERBICIDA GRANULADO GLIFOSATO 720 MG L WG.pdf,success,2025-11-20 11:34:24.647675,3.3516890070004592,"Oxigênio, líquido ou gaseificado",1.0,NAO ENCONTRADO,1.0,1904,0.85,warning,,NAO ENCONTRADO,1.0,valid,,"1904 - Oxigênio, líquido ou gaseificado",1.0,valid,,,1.0,NAO ENCONTRADO,1.0
